Date,Open,High,Low,Close,Volume,Adj Close
2000-07-13,149.9843,150.375,149.1875,149.7812,149.7812,149.7812
2000-07-14,150.4375,151.25,149.6718,151.25,151.25,151.25
2000-07-17,150.9843,151.9843,150.6875,151.0,151.0,151.0
2000-07-18,150.625,150.625,149.3437,149.7656,149.7656,149.7656
2000-07-19,149.4687,149.9062,148.25,148.5625,148.5625,148.5625
2000-07-20,149.0,150.625,148.8125,150.625,150.625,150.625
2000-07-21,149.75,149.75,147.6875,147.6875,147.6875,147.6875
2000-07-24,148.125,148.8593,146.5625,146.8437,146.8437,146.8437
2000-07-25,147.75,147.8437,146.7812,147.3125,147.3125,147.3125
2000-07-26,146.9687,147.1562,145.6406,145.875,145.875,145.875
2000-07-27,145.9375,146.625,144.6875,145.375,145.375,145.375
2000-07-28,145.7187,145.9062,141.5156,142.0937,142.0937,142.0937
2000-07-31,142.9375,144.125,142.0625,143.0,143.0,143.0
2000-08-01,143.625,144.7187,143.125,143.875,143.875,143.875
2000-08-02,143.875,145.4062,143.625,144.5937,144.5937,144.5937
2000-08-03,142.875,145.8125,142.625,145.5937,145.5937,145.5937
2000-08-04,146.3125,146.7187,145.4062,146.375,146.375,146.375
2000-08-07,146.7187,148.4375,146.375,148.125,148.125,148.125
2000-08-08,147.5,148.8125,147.5,148.6875,148.6875,148.6875
2000-08-09,149.1406,149.2187,147.375,147.4375,147.4375,147.4375
2000-08-10,147.5312,147.8593,146.2812,146.7187,146.7187,146.7187
2000-08-11,146.625,148.0,145.5625,147.4062,147.4062,147.4062
2000-08-14,147.7812,149.5625,147.0625,149.2812,149.2812,149.2812
2000-08-15,149.3437,149.8125,148.5625,149.1562,149.1562,149.1562
2000-08-16,149.3125,149.9375,147.8437,148.625,148.625,148.625
2000-08-17,148.6875,150.4375,148.3437,150.1875,150.1875,150.1875
2000-08-18,150.375,150.375,149.2187,149.6875,149.6875,149.6875
2000-08-21,150.0312,150.7187,149.4062,150.5,150.5,150.5
2000-08-22,150.5625,151.3125,150.0937,150.25,150.25,150.25
2000-08-23,149.8125,151.2812,149.2812,150.8437,150.8437,150.8437
2000-08-24,151.1562,151.5,150.5,151.3125,151.3125,151.3125
2000-08-25,151.1562,151.625,150.9375,151.25,151.25,151.25
2000-08-28,151.25,152.9062,151.25,151.7656,151.7656,151.7656
2000-08-29,151.4375,151.875,150.9062,151.7968,151.7968,151.7968
2000-08-30,151.3125,151.5,150.3437,150.3437,150.3437,150.3437
2000-08-31,151.0625,153.0937,150.9062,152.3437,152.3437,152.3437
2000-09-01,153.25,153.5937,152.0,152.5,152.5,152.5
2000-09-05,151.875,152.2031,150.8125,151.2812,151.2812,151.2812
2000-09-06,151.1875,151.9531,149.5312,149.5625,149.5625,149.5625
2000-09-07,150.25,151.0781,149.8281,150.8437,150.8437,150.8437
2000-09-08,150.2812,150.5,149.3281,149.8125,149.8125,149.8125
2000-09-11,149.75,151.1875,148.6875,149.5937,149.5937,149.5937
2000-09-12,149.75,150.25,148.4375,148.5,148.5,148.5
2000-09-13,148.0,149.3437,147.6562,148.8906,148.8906,148.8906
2000-09-14,149.875,149.9375,148.1562,149.6406,149.6406,149.6406
2000-09-15,148.1875,148.25,146.0,146.0,146.0,146.0
2000-09-18,146.375,146.9687,144.2031,144.6562,144.6562,144.6562
2000-09-19,145.125,146.3125,144.7031,145.9687,145.9687,145.9687
2000-09-20,145.6875,146.0312,143.1562,144.8906,144.8906,144.8906
2000-09-21,144.4687,145.5625,142.625,142.6875,142.6875,142.6875
2000-09-22,142.625,145.3125,142.4218,145.2812,145.2812,145.2812
2000-09-25,145.9375,146.0625,143.7187,144.25,144.25,144.25
2000-09-26,144.375,145.0,142.4062,142.4062,142.4062,142.4062
2000-09-27,143.5625,143.9687,142.125,143.1562,143.1562,143.1562
2000-09-28,143.1875,146.3281,142.8906,145.0,145.0,145.0
2000-09-29,145.4687,145.9687,143.625,143.625,143.625,143.625
2000-10-02,144.2812,144.9062,143.1406,143.8437,143.8437,143.8437
2000-10-03,144.5312,145.75,142.2812,142.5,142.5,142.5
2000-10-04,142.875,144.25,141.75,143.6875,143.6875,143.6875
2000-10-05,143.4062,144.8437,143.3125,144.1875,144.1875,144.1875
2000-10-06,143.875,144.6406,139.75,141.0625,141.0625,141.0625
2000-10-09,141.3125,141.3125,139.375,140.0,140.0,140.0
2000-10-10,140.0937,141.25,137.6875,137.6875,137.6875,137.6875
2000-10-11,137.625,138.625,135.125,136.5312,136.5312,136.5312
2000-10-12,137.2812,137.5937,132.7812,133.125,133.125,133.125
2000-10-13,132.9375,137.6562,132.875,137.5625,137.5625,137.5625
2000-10-16,137.4062,138.2343,136.6875,138.1875,138.1875,138.1875
2000-10-17,138.4375,138.5625,134.4062,134.75,134.75,134.75
2000-10-18,132.625,136.125,130.1562,134.25,134.25,134.25
2000-10-19,136.8437,139.4531,136.4375,139.3125,139.3125,139.3125
2000-10-20,138.375,141.1875,138.375,139.9062,139.9062,139.9062
2000-10-23,139.9375,141.0312,138.9375,140.5312,140.5312,140.5312
2000-10-24,140.9687,141.9375,139.0,139.5937,139.5937,139.5937
2000-10-25,138.75,139.5625,136.125,136.3125,136.3125,136.3125
2000-10-26,137.125,137.6562,134.0312,136.6875,136.6875,136.6875
2000-10-27,137.875,139.2812,136.625,139.2812,139.2812,139.2812
2000-10-30,138.4375,141.0937,138.1562,140.5312,140.5312,140.5312
2000-10-31,141.0156,143.6875,140.0625,142.9531,142.9531,142.9531
2000-11-01,142.25,143.25,141.2187,142.4687,142.4687,142.4687
2000-11-02,143.1562,143.9062,142.5156,142.7031,142.7031,142.7031
2000-11-03,143.4687,143.75,142.375,142.7812,142.7812,142.7812
2000-11-06,143.1562,144.2968,143.0312,143.7812,143.7812,143.7812
2000-11-07,143.1406,144.0,142.5625,143.75,143.75,143.75
2000-11-08,144.0625,144.0625,140.5625,140.5625,140.5625,140.5625
2000-11-09,140.0,141.2187,137.25,140.0312,140.0312,140.0312
2000-11-10,139.0,139.4687,136.5312,136.625,136.625,136.625
2000-11-13,135.625,136.9843,133.0156,135.5625,135.5625,135.5625
2000-11-14,137.4687,139.625,137.0,139.125,139.125,139.125
2000-11-15,139.0625,140.1093,137.75,139.5625,139.5625,139.5625
2000-11-16,138.5781,139.875,137.3125,137.375,137.375,137.375
2000-11-17,137.3125,139.0,135.75,136.6406,136.6406,136.6406
2000-11-20,135.75,136.375,134.3125,134.6875,134.6875,134.6875
2000-11-21,134.875,136.1875,133.5156,135.375,135.375,135.375
2000-11-22,134.3437,134.875,132.125,132.1406,132.1406,132.1406
2000-11-24,133.625,134.9687,133.625,134.8437,134.8437,134.8437
2000-11-27,136.4687,136.6875,135.3125,136.0312,136.0312,136.0312
2000-11-28,135.125,136.5937,133.6406,133.6875,133.6875,133.6875
2000-11-29,134.375,135.9062,133.2656,133.4375,133.4375,133.4375
2000-11-30,132.5,133.5,129.75,132.2812,132.2812,132.2812
2000-12-01,133.1875,134.0625,131.0,132.2187,132.2187,132.2187
2000-12-04,131.875,133.875,131.5,133.3437,133.3437,133.3437
2000-12-05,134.875,138.25,134.4062,137.7187,137.7187,137.7187
2000-12-06,137.7812,138.3437,135.0312,135.5156,135.5156,135.5156
2000-12-07,134.875,135.875,133.6562,133.6562,133.6562,133.6562
2000-12-08,137.0625,139.4687,133.875,133.9687,133.9687,133.9687
2000-12-11,137.375,139.5625,136.7187,138.625,138.625,138.625
2000-12-12,138.1875,138.8125,137.375,138.0312,138.0312,138.0312
2000-12-13,139.25,139.4062,136.0312,136.1406,136.1406,136.1406
2000-12-14,135.875,136.5,134.0312,134.4062,134.4062,134.4062
2000-12-15,133.125,133.125,130.5625,130.9687,130.9687,130.9687
2000-12-18,132.0625,133.4687,131.7656,132.7187,132.7187,132.7187
2000-12-19,132.4687,134.9687,130.0156,130.0156,130.0156,130.0156
2000-12-20,128.625,128.9375,126.0937,126.25,126.25,126.25
2000-12-21,126.0,128.8593,125.5312,127.125,127.125,127.125
2000-12-22,129.0,131.1093,128.8437,130.9375,130.9375,130.9375
2000-12-26,130.8437,132.3437,130.2812,132.3437,132.3437,132.3437
2000-12-27,131.75,133.7343,131.25,133.3125,133.3125,133.3125
2000-12-28,132.8125,133.875,132.5937,133.7187,133.7187,133.7187
2000-12-29,134.0625,134.2812,131.1875,131.1875,131.1875,131.1875
2001-01-02,132.0,132.1562,127.5625,128.8125,128.8125,128.8125
2001-01-03,128.3125,136.0,127.6562,135.0,135.0,135.0
2001-01-04,134.9375,135.4687,133.0,133.5468,133.5468,133.5468
2001-01-05,133.4687,133.625,129.1875,129.1875,129.1875,129.1875
2001-01-08,129.875,130.1875,127.6875,130.1875,130.1875,130.1875
2001-01-09,131.0468,131.5,129.4218,129.8437,129.8437,129.8437
2001-01-10,129.0,132.125,128.8125,132.125,132.125,132.125
2001-01-11,131.0937,133.4843,131.0937,132.25,132.25,132.25
2001-01-12,132.6875,133.7187,131.2812,132.0,132.0,132.0
2001-01-16,132.0,133.1875,131.5156,132.8437,132.8437,132.8437
2001-01-17,134.8437,135.0468,132.6406,133.4531,133.4531,133.4531
